,model_name,actions,x_pos,y_pos,q0,q1,q2
521,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,447,0,37.041977,24.027073,9.641003
522,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,448,0,40.141273,-14.108238,14.852028
523,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,449,0,40.30541,25.469406,13.554143
524,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,450,0,41.94969,17.533077,10.864497
525,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,451,0,38.159603,16.062061,19.156307
526,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,452,0,32.475204,-27.424788,11.851237
527,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,453,0,28.281404,19.224863,6.0767126
528,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,454,0,19.466574,18.39878,0.38483673
529,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,454,1,0.6841314,22.27343,9.054492
530,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,454,2,-17.888803,30.54283,17.732033
531,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,455,2,45.743217,19.19449,18.865425
532,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,456,2,32.75436,18.890816,-7.780088
533,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,457,2,26.598427,7.3474045,17.620094
534,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,458,2,30.835693,15.227279,29.109577
535,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,458,1,-39.05831,11.971337,26.02908
536,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,459,1,39.23883,20.259575,23.885551
537,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,460,1,37.804077,-4.477297,14.104602
538,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,461,1,40.466045,19.571362,27.953098
539,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,462,1,37.746178,20.644505,27.78685
540,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,463,1,37.80105,21.968544,23.064983
541,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,464,1,27.07219,26.82812,-0.2779674
542,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,465,1,27.86875,26.318754,24.613968
543,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,466,1,30.97444,27.093563,22.884624
544,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,466,2,-28.234354,35.640835,30.58915
545,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,467,2,37.909386,22.087017,19.204792
546,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,468,2,29.872187,13.018721,-1.1377639
547,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,469,2,28.534424,4.887769,20.7357
548,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,470,2,30.43426,7.8609734,26.904514
549,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,470,1,-9.316905,-3.4184806,28.014359
550,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,471,1,44.44072,16.701178,24.949951
551,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,472,1,40.180027,-4.9273195,-5.7704268
552,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,473,1,41.08508,20.446762,20.946438
553,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,474,1,46.040627,15.566472,32.29216
554,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,475,1,43.675766,22.45103,30.111229
555,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,476,1,31.309505,0.23228298,29.559269
556,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,477,1,33.409805,24.54291,30.118658
557,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,477,2,29.23688,34.30869,24.94624
558,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,478,2,40.7798,22.421272,24.531925
559,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,479,2,41.672462,24.921158,14.142753
560,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,480,2,37.575287,30.989468,-36.70361
561,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,481,2,44.563828,20.702003,12.626321
562,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,482,2,44.684166,15.93532,12.668675
563,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,483,2,47.1428,25.102348,23.053251
564,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,484,2,38.89277,14.617044,-9.046311
565,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,485,2,41.118782,12.056778,21.973156
566,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,486,2,41.296154,17.249062,27.59755
567,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,487,2,44.389233,20.951094,28.390453
568,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,488,2,46.92486,10.1669035,19.841558
569,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,489,2,45.02839,6.726261,21.148863
570,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,490,2,43.455112,16.267017,18.257019
571,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,491,2,42.61104,19.484278,16.348404
572,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,492,2,31.076033,18.734222,-38.790394
573,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,493,2,18.794037,8.703125,10.30605
