participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC09,145,CE4,simple,Canny,1156.0,8.5,21.46,0.0,0.7990697854451437,-0.49649380920741,-0.6412481766824645
HC11,146,CE4,simple,Canny,1156.0,6.5,21.605,0.0,0.5436208129545271,-0.6268374149880158,-0.935237569909011
HC12,147,CE4,simple,Canny,1156.0,7.0,38.53,1.0,0.6384423980690614,-0.6185451647730207,-0.25688596963664745
HC13,148,CE4,simple,Canny,1156.0,7.0,16.145,0.5,0.4930066485916347,-0.5937330222229363,-0.39461416470148514
HC14,149,CE4,simple,Canny,1156.0,7.0,18.82,0.0,0.26371855783165343,-0.7415393401746592,-0.7988305528088171
HC15,150,CE4,simple,Canny,1156.0,7.5,33.705,0.0,0.30968197034335265,-0.6023803253555167,-0.47850943338967455
HC16,151,CE4,simple,Canny,1156.0,5.5,29.509999999999998,0.5,0.2843883310154694,-0.11132004652216816,-0.43194747837974945
HC17,152,CE4,simple,Canny,1156.0,8.5,26.674999999999997,0.5,0.6370458809525147,-0.6305847769465546,-0.33461913373910784
HC18,153,CE4,simple,Canny,1156.0,6.0,31.185000000000002,0.0,0.044998200107992804,-0.19704523861737483,-0.5187042713839326
HC19,154,CE4,simple,Canny,1156.0,5.5,31.28,1.0,0.9532333639533638,-0.7539924996982807,-0.27693016664012166
HC20,155,CE4,simple,Canny,1156.0,7.0,25.5,0.5,0.8605159431346273,-1.0205888622454202,-0.3860667132187173
HC21,156,CE4,simple,Canny,1156.0,7.0,39.91,0.0,0.3126172895686066,-0.7113043293338247,-0.5495498901372736
HC22,157,CE4,simple,Canny,1156.0,7.0,18.895,0.0,0.39970543865447916,-0.4096575508487127,-0.499312714451762
HC23,158,CE4,simple,Canny,1156.0,8.5,35.540000000000006,0.0,1.0189615470550621,-0.15376132268037468,-0.7847554707590663
HC24,159,CE4,simple,Canny,1156.0,4.5,36.28,0.5,0.02340780190336972,-0.22191610843840961,0.03982831174232289
HC04,160,CE5,complex,Canny,1764.0,8.5,24.675,0.0,1.4702940882294102,-1.3504833999567174,-0.6344047384191239
HC05,161,CE5,complex,Canny,1764.0,7.5,20.77,0.0,0.7769961872612818,-0.8847902775316193,-0.5620224837470443
HC06,162,CE5,complex,Canny,1764.0,8.0,20.11,0.0,1.2023921363341337,-1.3653149338302975,-0.5175998872460718
HC07,163,CE5,complex,Canny,1764.0,6.5,19.43,0.0,1.1132740840898647,-0.8866487095578741,-0.6538704272846056
HC08,164,CE5,complex,Canny,1764.0,7.0,17.549999999999997,0.0,0.9982295648551707,-1.2701634631514098,-0.9845639021913715
HC09,165,CE5,complex,Canny,1764.0,9.0,19.79,0.0,1.0157666764133184,-0.7117337634869916,-0.6412481766824645
HC11,166,CE5,complex,Canny,1764.0,7.5,17.83,0.0,1.3719953850757112,-1.2698021745239951,-0.935237569909011
HC12,167,CE5,complex,Canny,1764.0,7.5,33.715,0.0,0.893819357296686,-1.0240829673696208,-1.004190608579622
HC13,168,CE5,complex,Canny,1764.0,8.0,14.75,0.5,1.0564428184106456,-0.880637569874288,-0.39461416470148514
HC14,169,CE5,complex,Canny,1764.0,8.0,18.67,1.0,0.6856682503622988,-0.7607730418543216,-0.08875895031209079
